Time,WorldAz,WorldEl,CalAz,CalEl,PhysAz,PhysEl,ServoAz_deg,ServoEl_deg,PulseAz_us,PulseEl_us,DroneLat,DroneLon,DroneAlt,BaseLat,BaseLon,BaseAlt
2025-07-31 17:54:08,349.08,68.61,349.08,68.61,180.0,68.61,90.0,34.305,2000.0,1381.2,13.02719,77.5631619,1074.807,13.0267547,77.5632481,949.55
2025-07-31 17:54:08,348.86,68.61,348.86,68.61,180.0,68.61,90.0,34.305,2000.0,1381.2,13.02719,77.5631619,1074.807,13.0267548,77.5632499,949.51
2025-07-31 17:54:09,348.43,68.61,348.43,68.61,180.0,68.61,90.0,34.305,2000.0,1381.2,13.02719,77.5631619,1074.807,13.0267554,77.5632532,949.49
2025-07-31 17:54:09,348.43,68.61,348.43,68.61,180.0,68.61,90.0,34.305,2000.0,1381.2,13.02719,77.5631619,1074.807,13.0267554,77.5632532,949.49
2025-07-31 17:54:09,348.23,68.62,348.23,68.62,180.0,68.62,90.0,34.31,2000.0,1381.2,13.02719,77.5631619,1074.807,13.0267559,77.5632547,949.45
2025-07-31 17:54:09,348.03,68.62,348.03,68.62,180.0,68.62,90.0,34.31,2000.0,1381.2,13.02719,77.5631619,1074.807,13.0267562,77.5632563,949.46
2025-07-31 17:54:09,347.66,68.64,347.66,68.64,180.0,68.64,90.0,34.32,2000.0,1381.3,13.02719,77.5631619,1074.807,13.0267571,77.5632591,949.44
2025-07-31 17:54:10,347.66,68.64,347.66,68.64,180.0,68.64,90.0,34.32,2000.0,1381.3,13.02719,77.5631619,1074.807,13.0267571,77.5632591,949.44
2025-07-31 17:54:10,347.49,68.66,347.49,68.66,180.0,68.66,90.0,34.33,2000.0,1381.4,13.02719,77.5631619,1074.807,13.0267579,77.5632603,949.41
2025-07-31 17:54:10,347.09,67.6,347.09,67.6,180.0,67.6,90.0,33.8,2000.0,1375.6,13.02719,77.5631619,1074.807,13.0267556,77.5632641,955.16
2025-07-31 17:54:10,347.09,68.74,347.09,68.74,180.0,68.74,90.0,34.37,2000.0,1381.9,13.02719,77.5631619,1074.807,13.0267603,77.563263,949.42
2025-07-31 17:54:10,347.09,68.74,347.09,68.74,180.0,68.74,90.0,34.37,2000.0,1381.9,13.02719,77.5631619,1074.807,13.0267603,77.563263,949.42
2025-07-31 17:54:11,346.95,68.76,346.95,68.76,180.0,68.76,90.0,34.38,2000.0,1382.0,13.02719,77.5631619,1074.807,13.026761,77.563264,949.45
2025-07-31 17:54:11,346.67,68.8,346.67,68.8,180.0,68.8,90.0,34.4,2000.0,1382.2,13.02719,77.5631619,1074.807,13.0267625,77.5632659,949.45
2025-07-31 17:54:11,346.56,68.83,346.56,68.83,180.0,68.83,90.0,34.415,2000.0,1382.4,13.02719,77.5631619,1074.807,13.0267634,77.5632665,949.49
2025-07-31 17:54:11,346.56,68.83,346.56,68.83,180.0,68.83,90.0,34.415,2000.0,1382.4,13.02719,77.5631619,1074.807,13.0267634,77.5632665,949.49
2025-07-31 17:54:11,346.49,68.85,346.49,68.85,180.0,68.85,90.0,34.425,2000.0,1382.5,13.02719,77.5631619,1074.807,13.0267642,77.5632669,949.52
2025-07-31 17:54:12,346.31,68.89,346.31,68.89,180.0,68.89,90.0,34.445,2000.0,1382.7,13.02719,77.5631619,1074.807,13.0267654,77.5632681,949.51
2025-07-31 17:54:12,346.17,68.92,346.17,68.92,180.0,68.92,90.0,34.46,2000.0,1382.9,13.02719,77.5631619,1074.807,13.0267663,77.563269,949.54
2025-07-31 17:54:12,346.17,68.92,346.17,68.92,180.0,68.92,90.0,34.46,2000.0,1382.9,13.02719,77.5631619,1074.807,13.0267663,77.563269,949.54
2025-07-31 17:54:12,346.02,68.95,346.02,68.95,180.0,68.95,90.0,34.475,2000.0,1383.1,13.02719,77.5631619,1074.807,13.0267672,77.5632699,949.55
2025-07-31 17:54:12,345.77,69.01,345.77,69.01,180.0,69.01,90.0,34.505,2000.0,1383.4,13.02719,77.5631619,1074.807,13.0267692,77.5632714,949.56
2025-07-31 17:54:13,345.66,69.05,345.66,69.05,180.0,69.05,90.0,34.525,2000.0,1383.6,13.02719,77.5631619,1074.807,13.0267703,77.563272,949.57
